TeslaDeaths,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
 , , Date, Country, State, Description, , Tesla driver, Tesla occupant, Other vehicle, Cyclists/ Peds, TSLA+cycl / peds, Model, Autopilot claimed, Reported in NHTSA SGO, Verified Tesla Autopilot Deaths, Excerpt Verifying Tesla Autopilot Deaths
423,2024,6/3/2024, USA, TX, Tesla hits parked tractor-trailer,1, 1, -, -, -, 1, -, -, -, -, -
422,2024,6/1/2024, USA, MD, Tesla hit motorcycle,1, -, -, 1, -, -, -, -, -, -, -
421,2024,5/29/2024, USA, WA," Tesla runs red light, collides with two cars",1, -, -, 1, -, -, -, -, -, -, -
420,2024,5/26/2024, USA, FL, Tesla crashes into a support column and burns,1, 1, -, -, -, 1, -, -, -, -, -
419,2024,5/24/2024, Germany, -," Tesla crashes under bridge, burns",1, 1, -, -, -, 1, -, -, -, -, -
418,2024,5/23/2024, UK, -, Three-way crash,1, 1, -, -, -, 1, 3, -, -, -, -
417,2024,5/22/2024, USA, WA, Tesla crashes offroad,1, 1, -, -, -, 1, -, -, -, -, -
416,2024,5/19/2024, USA, WI, DUI,1, -, -, 1, -, -, -, -, -, -, -
415,2024,5/11/2024, USA, CA, Car crashes into house,3, 1, 2, -, -, 3, -, -, -, -, -
414,2024,5/7/2024, USA, CA, Car goes off cliff,1, 1, -, -, -, 1, -, -, -, -, -
413,2024,5/4/2024, USA, CA, Tesla hits pole,1, 1, -, -, -, 1, -, -, -, -, -
412,2024,4/27/2024, China, -, Tesla falls off cliff,2, 1, 1, -, -, 2, Y, -, -, -, -
411,2024,4/26/2024, USA, MO, Head-on collision,1, -, -, 1, -, -, 3, -, -, -, -
410.1,2024,4/22/2024, Germany, -, Tesla hits bicyclist,1, -, -, -, 1, 1, -, -, -, -, -
410,2024,4/19/2024, USA, WA, Tesla runs into motorcycle,1, -, -, 1, -, -, S, 1, -, -, -
409,2024,4/7/2024, USA, CA," Tesla drives in wrong direction, hits cars",1, -, -, 1, -, -, -, -, -, -, -
408,2024,4/2/2024, USA, GA, Multi-car crash,1, , , , , , -, -, -, -, -
407,2024,4/1/2024, USA, OH, Tesla runs stop sign,2, -, -, 2, -, -, S, -, -, -, -
406,2024,3/24/2024, USA, IN, Tesla hits embankment,1, 1, -, -, -, 1, -, -, -, -, -
405,2024,3/22/2024, USA, AZ, Tesla collides with car head-on,1, -, -, 1, -, -, -, -, -, -, -
404,2024,3/18/2024, USA, FL, Tesla hits pedestrian,1, -, -, -, 1, 1, X, -, -, -, -
403,2024,2/21/2024, USA, GA, Multi-car crash,2, -, -, 2, -, -, -, -, -, -, -
402,2024,2/21/2024, USA, CA, Tesla hits pedestrian,1, -, -, -, 1, 1, Y, -, -, -, -
401,2024,2/20/2024, USA, UT, Car crashes into turning Tesla,1, -,1, -, -, 1, -, -, -, -, -
400,2024,2/18/2024, Canada, -, SUV hits Tesla on highway,1, -,1, -, -, 1, -, -, -, -, -
399,2024,2/14/2024, USA, CA," Tesla hits pole, catches fire",1, 1, -, -, -, 1, 3, -, -, -, -
398,2024,2/14/2024, USA, CA," Tesla driver has ""health incidentt""",1, 1, -, -, -, 1, -, -, -, -, -
397,2024,2/14/2024, UK, -, Mult-car accident,2, 1, 1, -, -, 2, -, -, -, -, -
396,2024,2/11/2024, USA, TX, Tesla backs into pond,1, 1, -, -, -, 1, -, -, -, -, -
395,2024,2/11/2024, USA, CA," Tesla hits pole, ignites",1, 1, -, -, -, 1, 3, -, -, -, -
394,2024,2/7/2024, USA, PA, Tesla crashes into turning car,1, -, -, 1, -, -, X, -, -, -, -
393,2024,2/1/2024, USA, CA, Tesla hits pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
392,2024,1/28/2024, USA, CA, Tesla hits railing,1, 1, -, -, -, -, -, -, -, -, -
391,2024,1/26/2024, USA, CT, Tesla hits tree,1, 1, -, -, -, -, -, -, -, -, -
390.1,2024,1/24/2024, Germany, -, Tesla hits pedestrian leaving car crash,1, -, -, -, 1, 1, -, -, -, -, -
390,2024,1/24/2024, USA, PA, Tesla rolls over and crashes into creek,1, 1, -, -, -, -, -, -, -, -, -
389.1,2024,1/19/2024, Germany, -, Tesla crashes into car,1, -, -, 1, -, 1, -, -, -, -, -
389,2024,1/16/2024, USA, FL, Tesla goes airborne and hits tree,1, 1, -, -, -, -, -, -, -, -, -
388,2024,1/12/2024, USA, CA, Multi-car accident,2, -, -, 2, -, -, -, -, -, -, -
387,2024,1/7/2024, USA, TX, Speeding Tesla hits car,1, 1, -, -, -, 1, -, -, -, -, -
386,2023,12/31/2023, USA, CA, Tesla hits man lying in road,1, -, -, -, 1, 1, -, -, -, -, -
385,2023,12/29/2023, USA, WY," Tesla crosses into incoming traffic, hit, and spins off road",1, -, 1, -, -, 1, Y, 1, 13781-6922, 1, SGO
384,2023,12/28/2023, USA, NJ, Multi-car accident,1, -, -, 1, -, -, -, -, -, -, -
383,2023,12/24/2023, USA, CA, DUI hit and run,1, -, -, -, 1, 1, -, -, -, -, -
382,2023,12/20/2023, USA, GA," Tesla crashes into telephone pole, ignites",2, 1, 1, -, -, 2, -, -, -, -, -
381,2023,12/16/2023, USA, CA, Tesla hits highway divider,1, 1, -, -, -, 1, 3, -, -, -, -
380,2023,12/14/2023, USA, CA, Tesla crashes into trees,1, -, -, -, -, 1, Y, -, -, -, -
379,2023,12/4/2023, UK, -, Truck and Tesla collide,1, 1, -, -, -, 1, -, -, -, -, -
378,2023,11/30/2023, USA, AR, Tesla hit other car on highway,2, -, 1, 1, -, 1, -, -, -, -, -
377,2023,11/15/2023, USA, NC, Moped runs into Tesla,1, -, -, 1, -, -, -, -, -, -, -
376.1,2023,11/14/2023, USA, MN, Hit and run,1, -, -, -, 1, 1, -, 1, 13781-7197 - Tesla disputes this incident and it's currently under review, 1, SGO
376,2023,11/4/2023, USA, WA, Tesla rolls over and hits enbankment,1, 1, -, -, -, -, -, -, -, -, -
375,2023,11/3/2023, USA, FL, Tesla hits a dislodged motorcyclist,1, -, -, -, 1, 1, -, -, -, -, -
374,2023,10/30/2023, USA, NY, Tesla hits multiple cars,1, -, 1, -, -, -, -, -, -, -, -
373,2023,10/30/2023, USA, NY, DUI,1, -, -, 1, -, -, -, -, -, -, -
372,2023,10/26/2023, USA, CA, Motorcycle crashes into Tesla,1, -, -, 1, -, -, -, -, -, -, -
371,2023,10/14/2023, UK, -, Cyclist hit by Tesla,1, -, -, -, 1, 1, -, -, -, -, -
370,2023,10/14/2023, USA, WA, Car hit by oncoming Tesla,1, -, -, 1, -, -, -, -, -, -, -
369,2023,10/14/2023, USA, CA, Stolen Tesla hits minivan,2, 1, -, 1, -, 1, -, -, -, -, -
368,2023,10/13/2023, USA, CA," Tesla hits divider and tree, ignites",2, 1, 1, -, -, 2, -, -, -, -, -
367.1,2023,10/12/2023, USA, SC," Tesla hits trees, catches fire",1, 1, -, -, -, -, -, -, -, -, -
367,2023,10/10/2023, USA, MA, Tesla hits car making u-turn,1, -, -, 1, -, -, -, -, -, -, -
366,2023,10/4/2023, USA, CA," Head-on collision, Tesla catches fire",1, 1, -, -, -, 1, Y, -, -, -, -
365,2023,10/2/2023, USA, CA, Tesla heading in wrong direction collides with car,2, 1, -, 1, -, 1, 3, -, -, -, -
364,2023,9/30/2023, USA, CA, Tesla hits pole,1, 1, -, -, -, 1, Y, -, -, -, -
363,2023,9/25/2023, USA, VA, Rear-end car crash,1, -, -, 1, -, -, -, -, -, -, -
361,2023,9/24/2023, USA, PA, Collision,3, , , , , , -, -, -, -, -
360,2023,9/4/2023, USA, VA, Motorcycle and Tesla head-on collide,1, -, -, 1, -, -, -, -, -, -, -
359,2023,9/1/2023, USA, ID, Tesla crosses center line and hits oncoming car,4, 1, 2, 1, -, 4, -, -, -, -, -
358,2023,8/29/2023, USA, TX, Tesla crashes into wall of hospital,2, 1, 1, -, -, 2, -, -, -, -, -
357.2,2023,8/14/2023, New Zealand, -," Tesla crashes into tree, ignites",1, 1, -, -, -, 1, -, -, -, -, -
357.1,2023,8/14/2023, UK, -, Tesla hits bicyclist,1, -, -, -, 1, 1, -, -, -, -, -
357,2023,8/13/2023, USA, NJ, Motorcycle hits Tesla,1, -, -, 1, -, -, -, -, -, -, -
356,2023,8/12/2023, Germany, -, Tesla hits guardrail and burns,1, 1, -, -, -, 1, -, -, -, -, -
355,2023,8/12/2023, USA, CA, Multi-car accident involving semi,1, , , , , , -, -, -, -, -
354,2023,8/1/2023, USA, CA, Motorcycle hits Tesla,1, -, -, 1, -, -, -, -, -, -, -
353,2023,7/31/2023, USA, TX, Hit and run,1, -, -, -, 1, 1, -, -, -, -, -
352,2023,7/29/2023, USA, UT," Tesla crashes into tree, burns",3, 1, 2, -, -, 3, -, -, -, -, -
351,2023,7/29/2023, USA, TX," Tesla crashes into tree, burns",1, 1, -, -, -, 1, -, -, -, -, -
350,2023,7/22/2023, USA, NC, Tesla crashes into trees,1, 1, -, -, -, 1, -, -, -, -, -
349,2023,7/20/2023, USA, CA, Multi-car accident,1, -, -, -, -, -, -, -, -, -, -
348,2023,7/19/2023, USA, VA, Tesla crashes into side of truck,1, 1, -, -, -, 1, Y, 1, 13781-5996, 1, SGO
346,2023,7/16/2023, USA, FL, Tesla runs off road and crashes into pole,1, 1, -, -, -, 1, Y, -, -, -, -
345,2023,7/8/2023, USA, MN, Speeding Tesla crashes into minivan,1, -, -, 1, -, -, -, -, -, -, -
344,2023,7/8/2023, USA, CA, Tesla crashes in parking lot,3, 1, 2, -, -, 3, -, -, -, -, -
343,2023,7/8/2023, Germany, -, Tesla crashes into trees,1, 1, -, -, -, 1, -, -, -, -, -
342.2,2023,7/7/2023, USA, CA, Tesla hits fire hydrant and burns,2, 1, 1, -, -, 2, -, -, -, -, -
342.1,2023,7/7/2023, USA, CA, Multi Car accident involving DUI,1, -, -, 1, -, -, -, -, -, -, -
342,2023,7/5/2023, USA, CA, Collision,2, -, 1, 1, -, 1, 3, -, 13781-5835, , 
 , , , , , , , , , , , , , , , , 
341,2023,7/4/2023, USA, FL, Tesla crashes into divider,1, 1, -, -, -, 1, -, -, -, -, -
340,2023,7/1/2023, Italy, -, Tesla drives into opposite lane,1, -, -, 1, -, -, -, -, -, -, -
339,2023,7/1/2023, France, -, Tesla hits tree,1, 1, -, -, -, 1, S, -, -, -, -
338,2023,6/29/2023, USA, NY," Tesla crashes into house, explodes",2, 1, -, -, -, 1, X, -, -, -, -
337.1,2023,6/26/2023, USA, WA," Tesla hits trees, ignites",1, 1, -, -, -, -, -, -, -, -, -
337,2023,6/26/2023, USA, CA, Tesla t-bones car,1, -, -, 1, -, -, -, -, -, -, -
336,2023,6/22/2023, USA, MD, Tesla crashes into divider,1, 1, -, -, -, -, -, -, -, -, -
335.1,2023,6/20/2023, USA, CA, Car collides with Tesla,1, -, -, 1, -, -, Y, -, 13781-5785, 1, SGO
335,2023,6/15/2023, USA, FL, Tesla loses control and hits divider,1, 1, -, -, -, -, -, -, -, -, -
334,2023,6/14/2023, USA, CA," Tesla loses control and hits tree, catches fire",2, 1, 1, -, -, -, Y, -, -, -, -
333,2023,6/13/2023, USA, CA, Tesla rolls off road and hits culvert,1, 1, -, -, -, -, -, -, -, -, -
332,2023,6/11/2023, USA, NY, Tesla rolls off road,4, 1, 3, -, -, 4, -, -, -, -, -
331,2023,6/11/2023, USA, MA, Motorcycle crashes into Tesla,1, -, -, 1, -, -, -, -, -, -, -
330,2023,6/7/2023, USA, NY, Tesla hits pedestrian,1, -, -, -, 1, 1, -, -, 13781-5685, 1, SGO
329,2023,6/6/2023, USA, OR," Tesla drifts off interstate, hits tree, catches fire",1, 1, -, -, -, 1, S, -, 13781-5673, 1, SGO
328,2023,5/31/2023, USA, CA, SUV and Tesla collide,2, 1, -, 1, -, 1, -, -, -, -, -
327,2023,5/28/2023, USA, IL, Tesla hits ejected motorcyclist,1, -, -, -, 1, 1, -, -, -, -, -
326.1,2023,5/24/2023, USA, FL, Tesla t-bones car,1, , , 1, , , 3, , -, -, -
326,2023,5/23/2023, USA, CT, Tesla crashes in nine cars,1, 1, -, -, -, 1, -, -, -, -, -
325,2023,5/22/2023, USA, GA," Tesla crashes into woods, catches fire",2, 1, 1, -, -, 2, -, -, -, -, -
324.1,2023,5/15/2023, UK, -, Cyclist hit by Tesla,1, -, -, -, 1, 1, -, -, -, -, -
324,2023,5/14/2023, USA, CA, SUV filled with family members and Tesla collide,3, -, -, 3, -, -, -, -, -, -, -
323,2023,5/13/2023, USA, OR, Tesla collides with tow truck,1, 1, -, -, -, 1, -, -, -, -, -
322,2023,5/7/2023, Ireland, -, Tesla and motorbike collide,1, -, -, 1, -, -, -, -, -, -, -
321,2023,5/5/2023, USA, CA, Motorcycle crashes into Tesla,1, -, -, 1, -, -, -, -, -, -, -
320,2023,5/5/2023, Taiwan, -," Tesla hits barrier, DUI",2, 1, 1, -, -, 2, -, -, -, -, -
319,2023,4/30/2023, USA, NJ, Collision,1, -, -, 1, -, -, -, -, -, -, -
318,2023,4/25/2023, USA, CA, Tesla hits electric bike,1, -, -, -, 1, 1, -, -, -, -, -
317,2023,4/23/2023, USA, CA, Multi Car crash,2, -, -, 2, -, -, 3, -, 13781-5372, 2, SGO
316,2023,4/18/2023, USA, CT," Tesla hits car, car crashes into median",1, -, -, 1, -, -, -, -, -, -, -
315,2023,4/17/2023, USA, TX, Two car collision,1, 1, 1, -, -, 1, 3, -, -, -, -
314,2023,4/14/2023, USA, AL, Tesla crashes into semi,2, 1, 1, -, -, 2, -, -, -, -, -
313,2023,4/3/2023, USA, CA, Fiery crash,1, -, 1, -, -, 1, X, -, -, -, -
312.1,2023,3/28/2023, USA, CA, Pickup hits Tesla,1, -, -, -, -, 1, -, -, 13781-5165, 1, SGO
312,2023,3/25/2023, USA, CA, Hit and run,1, -, -, -, 1, 1, 3, -, -, -, -
311.1,2023,3/15/2023, USA, NJ," Tesla hits tree during snow storm, ignites",1, 1, -, -, -, 1, -, -, -, -, -
311,2023,3/12/2023, USA, UT, Car hits Tesla that crashed into cable barrier; inclement weather,1, -, -, 1, -, -, -, -, -, -, -
310,2023,2/25/2023, USA, MO, Tesla hits turning car,1, -, -, 1, -, -, -, -, -, -, -
309,2023,2/25/2023, USA, CA, Collision,2, 1, 1, -, -, 2, -, -, -, -, -
308,2023,2/21/2023, USA, DC, Multi-car crash,1, 1, -, -, -, 1, 3, -, -, -, -
307,2023,2/20/2023, USA, ID, Tesla drives into embankment,1, 1, -, -, -, 1, -, -, -, -, -
306,2023,2/20/2023, USA, CA, Tesla drives into opposite lane,3, -, 2, 1, -, 2, -, -, -, -, -
305,2023,2/18/2023, USA, CA, Tesla crashes into fire truck,1, 1, -, -, -, 1, -, 1, 13781-4963, 1, SGO
304,2023,2/17/2023, China, -," Tesla lands on front end, crashes into vehicles",1, -, 1, -, -, -, 3, -, -, -, -
303,2023,2/17/2023, USA, NY, Tesla collides with car head-on,4, 1, 1, 2, -, 2, -, -, -, -, -
302,2023,2/15/2023, USA, CO, Four vehicle collision,1, -, -, 1, -, -, -, -, -, -, -
301,2023,2/14/2023, USA, NJ, Pickup hits Tesla,1, -, -, 1, -, -, -, -, -, -, -
300,2023,2/7/2023, USA, TN, Two-car collision,2, 1, 1, -, -, 2, -, -, -, -, -
299,2023,1/31/2023, USA, PA, Speeding Tesla hits pedestrian,1, -, -, -, 1, 1, 3, -, -, -, -
298,2023,1/30/2023, USA, MO, Speeding Tesla crashes into car,1, -, -, 1, -, -, -, -, -, -, -
297,2023,1/21/2023, USA, CA, Tesla crashes into resident's pool,1, 1, -, -, -, 1, -, -, -, -, -
296,2023,1/17/2023, USA, CA, Tesla crashes into back of semi,1, 1, -, -, -, 1, -, -, -, -, -
295,2023,1/7/2023, Canada, -, Tesla crashes,1, 1, -, -, -, 1, -, -, -, -, -
294,2023,1/7/2023, USA, WA," Tesla hits pole, catches on fire",1, -, 1, -, -, 1, -, -, -, -, -
293.1,2023,1/7/2023, USA, WA," Tesla hits pole, ignites",1, -, 1, -, -, 1, -, -, -, -, -
293,2022,12/22/2022, USA, GA, Tesla crashes and burns,1, 1, -, -, -, 1, -, -, -, -, -
292,2022,12/19/2022, Canada, -, Tesla crashes into storefront,1, -, -, -, 1, 1, -, -, -, -, -
291,2022,12/18/2022, USA, CA, Tesla hit two other cars,1, -, 1, -, -, -, -, -, -, -, -
290,2022,12/17/2022, USA, CA, Tesla hits pedestrian on highway,1, -, -, -, 1, 1, -, -, -, -, -
289,2022,12/11/2022, USA, CA, Tesla crashes into wall,1, 1, -, -, -, -, -, -, -, -, -
288,2022,12/11/2022, USA, MO, Collision at intersection,1, -, -, 1, -, -, -, -, -, -, -
287,2022,12/6/2022, Canada, -," Tesla veers, collides with truck",1, 1, -, -, -, -, -, -, -, -, -
286,2022,11/28/2022, China, -," Tesla runs red light, collides with two cars",2, -, -, 2, -, -, Y, -, -, -, -
285,2022,11/27/2022, USA, CA," Tesla careens off road, hits trees",1, 1, -, -, -, 1, -, -, -, -, -
284,2022,11/26/2022, USA, AR, Tesla hits pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
283,2022,11/18/2022, China, -, Tesla crashes into dump truck,1, 1, -, -, -, 1, -, -, -, -, -
282,2022,11/12/2022, Mexico, -, Tesla hits Toyota,1, -, -, 1, -, -, -, -, -, -, -
281,2022,11/12/2022, USA, CA, Multi-vehicle accident,1, -, -, 1, -, -, -, -, -, -, -
280,2022,11/11/2022, USA, CA," Tesla hits wall, catches fire",1, -, 1, -, -, -, -, 1, -, -, -
279,2022,11/5/2022, China, -, Out of control Tesla hits bicyclist and motorcyclist,2, -, -, 1, 1, 1, -, -, -, -, -
278,2022,11/4/2022, USA, IL," Collision at intersection, Tesla driver dies in hospital",1, 1, -, -, -, 1, -, -, -, -, -
277,2022,10/19/2022, USA, CA, Multi-car crash,1, 1, -, -, -, 1, -, -, -, -, -
276,2022,10/18/2022, USA, FL," Tesla collides with minivan, engulfed by flames",4, 1, 1, 2, -, 2, -, -, -, -, -
275,2022,10/12/2022, UK, -, Tesla crashes into ditch,1, 1, -, -, -, 1, -, -, -, -, -
274,2022,10/9/2022, USA, CA, Tesla hits concrete block,1, -, 1, -, -, 1, -, -, -, -, -
273,2022,10/1/2022, USA, FL, Tesla hits tree and catches fire,1, 1, -, -, -, 1, -, -, -, -, -
272,2022,9/18/2022, USA, SC," Tesla crashes into tree, ignites",2, 1, 1, -, -, 2, -, -, -, -, -
271,2022,9/18/2022, USA, MD, Multi-car accident,1, -, -, 1, -, -, -, -, -, -, -
270,2022,9/16/2022, USA, GA," Tesla loses control and crashes into bus shelter, kills man inside",1, -, -, -, 1, 1, -, 1, -, -, -
269,2022,9/13/2022, USA, CA, Tesla runs off highway,1, 1, -, -, -, 1, 3, 1, 13781-4011, 1, SGO
268,2022,9/12/2022, USA, NY," Tesla runs off road, catches fire",1, 1, -, -, -, -, -, -, -, -, -
267,2022,9/7/2022, USA, CA, Motorcycle collides with Tesla,1, 1, -, -, -, -, -, -, -, -, -
266.1,2022,9/-/2022, USA, FL, [REDACTED],1, -, -, -, -, -, Y, -," 13781-5248 | Currently marked as [Unknown] for ""Automated System Engaged?""", 1, SGO
266,2022,8/30/2022, USA, CA, Tesla hits motorcycle,1, -, -, 1, -, -, -, -, -, -, -
265,2022,8/26/2022, USA, FL, Tesla hits motorcycle,1, -, -, 1, -, -, 3, 1, 13781-3713, 1, SGO
264,2022,8/24/2022, USA, MA, Motorcyclist hits Tesla,1, -, -, 1, -, -, -, -, -, -, -
263,2022,8/23/2022, USA, SC, Multi-car accident on highway,2, -, -, 2, -, -, 3, 2, 13781-3710, 2, SGO
262,2022,8/21/2022, UK, -," Car drives thru garage, hits Tesla, lands on railroad tracks",1, -, -, 1, -, -, -, -, -, -, -
261,2022,8/20/2022, USA, FL," Tesla swerves, runs off roadway, overturns",1, 1, -, -, -, 1, S, -, -, -, -
260,2022,8/20/2022, USA, FL, Pedestrian hit in road,1, -, -, -, 1, 1, -, -, -, -, -
259,2022,8/16/2022, Germany, -," Tesla car crashes into tree, burns",3, -, -, -, -, 3, -, -, -, -, -
258,2022,8/14/2022, USA, CA, Tesla veers into oncoming traffic,4, 1, 3, -, -, 4, -, -, -, -, -
257,2022,8/14/2022, Finland, -, Unlicensed driver hits pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
256,2022,8/2/2022, USA, FL, Man in wheelchair hit crossing road,1, -, -, -, 1, 1, 3, -, -, -, -
255,2022,7/27/2022, Canada, -, Tesla hits cyclist,1, -, -, -, 1, 1, -, -, -, -, -
254,2022,7/27/2022, USA, ME, Tesla crashes at high speed,1, 1, -, -, -, 1, -, -, -, -, -
253.1,2022,7/24/2022, USA, TN, Tesla drunk driver,1, -, -, 1, -, -, -, 1, -, -, -
253,2022,7/24/2022, USA, UT, Tesla hits motorcycle,1, -, -, 1, -, -, 3, 1, 13781-3488, 1, SGO
252,2022,7/16/2022, USA, PA, Tesla goes airborne and crashes,1, 1, -, -, -, 1, -, -, -, -, -
251,2022,7/12/2022, China, -, Out of control Tesla hits pedestrians,2, -, -, -, 2, 2, Y, -, -, -, -
250,2022,7/8/2022, USA, CA, 3-car accident involving Tesla,1, -, -, 1, -, -, -, -, -, -, -
249,2022,7/8/2022, USA, HA, Motorcycle crashes into Tesla,1, -, -, 1, -, -, -, -, -, -, -
248,2022,7/7/2022, USA, CA, Motorcycle hit by Tesla,1, -, -, 1, -, -, Y, 1, 13781-3488, 1, SGO
247,2022,7/6/2022, USA, FL, Tesla hits parked tractor-trailer,2, 1, 1, -, -, 2, S, 2, 13781-3327, 2, SGO
246,2022,7/5/2022, USA, GA," Tesla strikes pole, burns",1, 1, -, -, -, 1, -, -, -, -, -
245,2022,6/26/2022, USA, CA, Tesla drives into opposite lane,1, -, -, 1, -, -, -, -, -, -, -
244,2022,6/20/2022, USA, AL, Tesla crashes into car,1, -, -, 1, -, -, -, -, -, -, -
243,2022,6/20/2022, USA, PA, Tesla hit and run,1, -, -, -, 1, 1, -, -, -, -, -
242,2022,6/20/2022, Canada, -, Tesla runs into overpass,1, 1, -, -, -, 1, -, -, -, -, -
241,2022,6/19/2022, USA, MI," Tesla hits telephone pole, ignites",2, 1, 1, -, -, 2, -, -, -, -, -
240,2022,6/17/2022, USA, CA, Head-on collision,2, 1, 1, -, -, 2, -, -, -, -, -
239,2022,6/14/2022, USA, CA, Tesla moves into opposite lane and head-on crashes,1, -, -, 1, -, -, -, -, -, -, -
238,2022,6/13/2022, USA, CA, Two-car collision,1, 1, -, -, -, 1, -, -, -, -, -
237,2022,6/7/2022, USA, CA, DUI crash,1, -, -, -, 1, 1, -, -, -, -, -
236,2022,6/3/2022, USA, NV, Motorcycle crashes into Tesla,1, -, -, 1, -, -, -, -, -, -, -
235,2022,6/-/2022, USA, NJ, [REDACTED],1, , -, -, -, 1, 3, 1, 13781-3513, 1, SGO
234,2022,5/28/2022, USA, NY, Tesla DUI crash,1, -, -, 1, -, -, -, -, -, -, -
233,2022,5/28/2022, USA, OR, Tesla loses control and crashes into car,2, 1, -, 1, -, 1, Y, -, -, -, -
232,2022,5/28/2022, USA, CA, Speeding tesla crashes into tree,1, 1, -, -, -, 1, -, -, -, -, -
